customer_id,name,email,age,country,signup_date,is_active,credit_score
be31a4fe-43e1-4ee6-adc1-a0abb30ed21f,Allison Hill,donaldgarcia@example.net,58,Uganda,2020-08-16,True,581
19f5d4b6-75c8-4325-8f85-60a1de26ff68,Leslie Johnson,robinsonwilliam@example.org,33,Monaco,2021-04-02,True,404
b0c5a91c-b55d-44de-b86b-5e50004fadd5,Matthew Gardner,shaneramirez@example.org,61,Senegal,2024-02-25,True,732
6a75ba90-45f2-4e66-ae21-09f42e7dffdf,Melissa Peterson,jasongallagher@example.org,20,Bermuda,2020-03-02,True,523
ac7957a1-b843-444e-851a-b46cd020a48c,Ian Cooper,lindsay78@example.org,32,Uzbekistan,2022-10-31,True,503
f329276e-8ec0-4053-9a83-9a7810b9b61c,Juan Calderon,barbara10@example.net,63,Denmark,2023-08-23,False,525
bb1afcf8-3aa7-4fd4-a2c2-340da64d8406,Victoria Wyatt,jamesshawn@example.com,46,Central African Republic,2023-04-21,False,306
a91763dc-7060-4211-bbf0-217e3d60d09e,Daniel Adams,lynchgeorge@example.net,66,Ecuador,2024-07-08,True,732
c90ee966-086e-4e7a-8fe3-97e58566bcab,James Mayo,gabriellecameron@example.org,39,Denmark,2021-07-23,True,520
d9b762de-aab1-42bd-9ba2-6ccfeeac477a,Renee Morales,clarksherri@example.net,79,Germany,2024-04-12,False,404
100f961d-b595-4f68-92f0-335a4e2a5278,Jonathan Wilkerson,ithomas@example.org,23,Samoa,2022-02-17,True,667
b6c9a8b2-f8d1-4a8e-a7a4-4791c79f02a7,Deborah Richards,icox@example.net,72,Lithuania,2021-12-05,False,344
d18a9cc9-76e0-43f8-8d27-6871238e0700,Anthony Rodriguez,laurahenderson@example.org,64,Hungary,2022-07-29,True,687
c5c92b20-bb88-4771-b41c-01cf551bb48f,Zachary Rice,frazierdanny@example.net,23,Sao Tome and Principe,2023-02-04,False,670
ee566695-b520-4226-9506-c867b6399695,Martin Rodriguez,amoore@example.net,54,Turkey,2021-01-28,True,346
19a61810-53b2-423b-83ae-7155226f6492,Valerie Gill,harrellkenneth@example.net,60,Madagascar,2021-04-11,False,381
65680272-e9ad-476e-809d-0993868eaef6,Brittany Farmer,georgetracy@example.org,72,Vanuatu,2021-04-21,True,689
04682f0b-8544-4263-ac5a-f3874da6f688,William Roman,brianhumphrey@example.org,35,Belize,2022-07-17,False,466
5d5d3a3b-b5be-494e-a416-b9313b2d3689,Rose Spence,davidalvarez@example.net,41,Chad,2021-12-28,True,573
7b929b40-3879-4e28-9cf6-c514edf0909b,Shane Henderson,sarahcampos@example.net,62,Cook Islands,2023-10-31,True,475
